index,response,clean_response,fieldsite,response_site,participants,date,collect_time,slow,order,pair_id,category
303,fun,fun,marina_res,castro,res,11/19/2025,15:41:32,0.0,2,151,fun
304,fratty,frat,marina_res,marina,res,11/19/2025,15:41:52,0.0,1,152,other
305,fruity,fruity,marina_res,castro,res,11/19/2025,15:41:52,0.0,2,152,gay
306,best_(for_nannies),nannies,marina_res,marina,res,11/19/2025,15:45:14,0.0,1,153,gentrified
307,i_don't_know,antitask,marina_res,castro,res,11/19/2025,15:45:14,0.0,2,153,antitask
308,homogenous,homogenous,marina_res,marina,res,11/19/2025,15:45:29,0.0,1,154,normative
309,alive,alive,marina_res,castro,res,11/19/2025,15:45:29,0.0,2,154,nice
310,awesome,awesome,marina_res,marina,res,11/19/2025,15:46:37,0.0,1,155,fun
311,great,great,marina_res,castro,res,11/19/2025,15:46:37,0.0,2,155,fun
312,the_chief_gay_district_in_the_city,gay,marina_res,castro,res,11/19/2025,15:47:24,0.0,2,156,gay
313,flat,flat,marina_res,marina,res,11/19/2025,15:47:24,0.0,1,156,geography
314,i_dunno,antitask,marina_res,castro,res,11/19/2025,15:47:51,0.0,2,157,antitask
315,pleasant,pleasant,marina_res,marina,res,11/19/2025,15:47:51,0.0,1,157,nice
316,beautiful,beautiful,marina_res,marina,res,11/19/2025,15:49:19,1.0,1,158,nice
317,lively,lively,marina_res,castro,res,11/19/2025,15:49:19,0.0,2,158,fun
318,extravagant,extravagant,mission_res,mission,res,11/11/2025,14:41:44,1.0,1,159,gentrified
319,gay,gay,mission_res,castro,res,11/11/2025,14:41:44,1.0,2,159,gay
320,fake,fake,mission_res,mission,res,11/11/2025,14:43:42,0.0,1,160,bad
321,gay,gay,mission_res,castro,res,11/11/2025,14:43:42,0.0,2,160,gay
322,chaotic,chaotic,mission_res,mission,res,11/11/2025,14:44:20,0.0,1,161,chaotic
323,fun,fun,mission_res,castro,res,11/11/2025,14:44:20,0.0,2,161,fun
324,enjoyable,enjoyable,mission_res,mission,res,11/11/2025,14:45:22,0.0,1,162,nice
325,farther,farther,mission_res,castro,res,11/11/2025,14:45:22,0.0,2,162,geography
326,bonito,bonito,mission_res,mission,res,11/11/2025,14:46:57,1.0,1,163,nice
327,bonito,bonito,mission_res,castro,res,11/11/2025,14:46:57,0.0,2,163,nice
328,character,character,mission_res,mission,res,11/11/2025,14:47:08,0.0,1,164,special
329,gay,gay,mission_res,castro,res,11/11/2025,14:47:08,0.0,2,164,gay
330,diverse,diverse,mission_res,mission,res,11/11/2025,14:48:37,1.0,1,165,diverse
331,gay,gay,mission_res,castro,res,11/11/2025,14:48:37,0.0,2,165,gay
332,robust,robust,mission_res,mission,res,11/11/2025,14:49:52,1.0,1,166,nice
333,gay,gay,mission_res,castro,res,11/11/2025,14:49:52,0.0,2,166,gay
334,peligrosa,peligroso,mission_res,mission,res,11/11/2025,14:50:39,1.0,1,167,gritty
335,bonita,bonito,mission_res,castro,res,11/11/2025,14:50:39,1.0,2,167,nice
336,tight,tight,mission_res,mission,res,11/11/2025,14:51:19,1.0,1,168,other
337,colorful,colorful,mission_res,castro,res,11/11/2025,14:51:19,0.0,2,168,diverse
338,también_bonito,bonito,mission_res,castro,res,11/11/2025,14:51:50,0.0,2,169,nice
339,bonito,bonito,mission_res,mission,res,11/11/2025,14:51:50,0.0,1,169,nice
340,colorful,colorful,mission_res,mission,res,11/11/2025,14:52:40,0.0,1,170,diverse
341,spanky,spanky,mission_res,castro,res,11/11/2025,14:52:40,0.0,2,170,fun
342,amazing,amazing,mission_res,mission,res,11/11/2025,14:55:43,0.0,1,171,fun
343,fun,fun,mission_res,castro,res,11/11/2025,14:55:43,1.0,2,171,fun
344,colourful,colorful,mission_res,mission,res,11/11/2025,14:55:50,0.0,1,172,diverse
345,rainbow,rainbow,mission_res,castro,res,11/11/2025,14:55:50,0.0,2,172,gay
346,vibrant,vibrant,mission_res,mission,res,11/11/2025,14:56:01,1.0,1,173,fun
347,exciting,exciting,mission_res,castro,res,11/11/2025,14:56:01,0.0,2,173,fun
348,lively,lively,mission_res,mission,res,11/11/2025,14:58:28,1.0,1,174,fun
349,colorful,colorful,mission_res,castro,res,11/11/2025,14:58:28,0.0,2,174,diverse
350,vibrant,vibrant,mission_res,mission,res,11/11/2025,14:59:11,0.0,1,175,fun
351,poppin,poppin,mission_res,castro,res,11/11/2025,14:59:11,0.0,2,175,fun
352,dichotomy,dichotomy,mission_res,mission,res,11/11/2025,15:00:49,0.0,1,176,diverse
353,fun,fun,mission_res,castro,res,11/11/2025,15:00:49,0.0,2,176,fun
354,queer_history,queer,mission_res,castro,res,11/11/2025,15:01:28,0.0,2,177,gay
355,flags,flags,mission_res,mission,res,11/11/2025,15:01:28,1.0,1,177,other
356,creative,creative,mission_res,mission,res,11/11/2025,15:03:34,0.0,1,178,special
357,na,antitask,mission_res,castro,res,11/11/2025,15:03:34,0.0,2,178,antitask
358,interesting,interesting,mission_res,mission,res,11/11/2025,15:04:02,1.0,1,179,special
359,different,different,mission_res,castro,res,11/11/2025,15:04:02,0.0,2,179,diverse
360,authentic,authentic,mission_res,mission,res,11/11/2025,15:04:53,1.0,1,180,special
361,liberating,liberating,mission_res,castro,res,11/11/2025,15:04:53,1.0,2,180,open
362,beautiful,beautiful,mission_res,mission,res,11/11/2025,15:05:25,0.0,1,181,nice
363,gorgeous,gorgeous,mission_res,castro,res,11/11/2025,15:05:25,0.0,2,181,nice
364,edge,edge,mission_res,mission,res,11/11/2025,15:06:18,0.0,1,182,gritty
365,love,love,mission_res,castro,res,11/11/2025,15:06:18,1.0,2,182,gay
366,home,home,mission_res,mission,res,11/11/2025,15:06:23,0.0,1,183,community
367,lively,lively,mission_res,castro,res,11/11/2025,15:06:23,1.0,2,183,fun
368,eclectic,eclectic,mission_res,mission,res,11/11/2025,15:08:17,0.0,1,184,special
369,shiny,shiny,mission_res,castro,res,11/11/2025,15:08:17,0.0,2,184,other
370,sunny,sunny,mission_res,mission,res,11/11/2025,15:08:54,1.0,1,185,weather
371,colourful,colorful,mission_res,castro,res,11/11/2025,15:08:54,1.0,2,185,diverse
372,hispanic,hispanic,mission_res,mission,res,11/11/2025,15:09:33,0.0,1,186,latino
373,gay,gay,mission_res,castro,res,11/11/2025,15:09:33,0.0,2,186,gay
374,cosmopolitan,cosmopolitan,mission_res,mission,res,11/11/2025,15:09:56,0.0,1,187,gentrified
375,gay,gay,mission_res,castro,res,11/11/2025,15:09:56,0.0,2,187,gay
376,eclectic,eclectic,mission_res,mission,res,11/11/2025,15:11:00,0.0,1,188,special
377,na,antitask,mission_res,castro,res,11/11/2025,15:11:00,0.0,2,188,antitask
378,beautiful,beautiful,mission_res,mission,res,11/11/2025,15:12:34,0.0,1,189,nice
379,beautiful,beautiful,mission_res,castro,res,11/11/2025,15:12:34,0.0,2,189,nice
380,amazing,amazing,mission_res,mission,res,11/11/2025,15:13:41,0.0,1,190,fun
381,cool,cool,mission_res,castro,res,11/11/2025,15:13:41,0.0,2,190,nice
382,gay_*but_is_changing,gay,mission_res,castro,res,11/11/2025,15:14:45,1.0,2,191,gay
383,diverse,diverse,mission_res,mission,res,11/11/2025,15:14:45,0.0,1,191,diverse
384,eclectic,eclectic,mission_res,mission,res,11/11/2025,15:15:09,1.0,1,192,special
385,open,open,mission_res,castro,res,11/11/2025,15:15:09,0.0,2,192,open
386,party_time,party,mission_res,castro,res,11/11/2025,15:16:25,1.0,2,193,fun
387,flavorful,flavorful,mission_res,mission,res,11/11/2025,15:16:25,1.0,1,193,diverse
388,also_amazing,amazing,mission_res,castro,res,11/11/2025,15:17:18,0.0,2,194,fun
389,amazing,amazing,mission_res,mission,res,11/11/2025,15:17:18,0.0,1,194,fun
390,heritage,heritage,mission_res,mission,res,11/11/2025,15:19:51,0.0,1,195,special
391,legacy,legacy,mission_res,castro,res,11/11/2025,15:19:51,0.0,2,195,special
392,gentrified,gentrified,mission_res,mission,res,11/11/2025,15:21:14,0.0,1,196,gentrified
393,transplants,transplants,mission_res,castro,res,11/11/2025,15:21:14,0.0,2,196,gentrified
394,hispanic,hispanic,mission_res,mission,res,11/11/2025,15:22:20,0.0,1,197,latino
395,drugs,drugs,mission_res,castro,res,11/11/2025,15:22:20,1.0,2,197,other
396,beautiful_(changed_to_cultural_after_castro),beautiful,mission_res,mission,res,11/11/2025,15:25:04,1.0,1,198,nice
397,gay_and_fun,gay,mission_res,castro,res,11/11/2025,15:25:04,0.0,2,198,gay
398,also_beautiful,beautiful,mission_res,castro,res,11/11/2025,15:26:01,0.0,2,199,nice
399,beautiful,beautiful,mission_res,mission,res,11/11/2025,15:26:01,0.0,1,199,nice
400,chill,chill,mission_res,mission,res,11/11/2025,15:28:46,0.0,1,200,nice
401,hectic,hectic,mission_res,castro,res,11/11/2025,15:28:46,0.0,2,200,chaotic
402,vibrant,vibrant,mission_res,mission,res,11/11/2025,15:30:57,0.0,1,201,fun
403,exuberant,exuberant,mission_res,castro,res,11/11/2025,15:30:57,0.0,2,201,fun
404,bien_bonito,bonito,mission_res,mission,res,11/11/2025,15:36:33,0.0,1,202,nice
405,igual,bonito,mission_res,castro,res,11/11/2025,15:36:33,0.0,2,202,nice
406,wonderful,wonderful,mission_res,mission,res,11/11/2025,15:37:13,0.0,1,203,fun
407,different,different,mission_res,castro,res,11/11/2025,15:37:13,0.0,2,203,diverse
408,fun,fun,mission_res,mission,res,11/11/2025,15:37:23,0.0,1,204,fun
409,clean,clean,mission_res,castro,res,11/11/2025,15:37:23,1.0,2,204,nice
410,community,community,mission_res,mission,res,11/11/2025,15:38:12,0.0,1,205,community
411,historical,historic,mission_res,castro,res,11/11/2025,15:38:12,0.0,2,205,special
412,unique,unique,mission_res,mission,res,11/11/2025,15:39:16,0.0,1,206,other
413,diversity,diverse,mission_res,castro,res,11/11/2025,15:39:16,1.0,2,206,diverse
414,gritty,gritty,mission_res,mission,res,11/11/2025,15:40:07,1.0,1,207,gritty
415,rainbow,rainbow,mission_res,castro,res,11/11/2025,15:40:07,0.0,2,207,gay
416,comunidad_latina,latino,mission_res,mission,res,11/11/2025,15:42:45,1.0,1,208,latino
417,genero_diferente,gender,mission_res,castro,res,11/11/2025,15:42:45,1.0,2,208,other
418,fun,fun,mission_res,mission,res,11/11/2025,15:44:14,0.0,1,209,fun
419,fun,fun,mission_res,castro,res,11/11/2025,15:44:14,0.0,2,209,fun
420,colourful,colorful,mission_res,mission,res,11/11/2025,15:45:44,1.0,1,210,diverse
421,trendier,trendier,mission_res,castro,res,11/11/2025,15:45:44,1.0,2,210,gentrified
422,diverse,diverse,mission_res,mission,res,11/11/2025,15:46:07,0.0,1,211,diverse
423,exciting,exciting,mission_res,castro,res,11/11/2025,15:46:07,0.0,2,211,fun
424,latinos,latino,mission_res,mission,res,11/11/2025,15:48:21,0.0,1,212,latino
425,especial,especial,mission_res,castro,res,11/11/2025,15:48:21,1.0,2,212,other
426,home,home,mission_res,mission,res,11/11/2025,15:48:50,1.0,1,213,community
427,close,close,mission_res,castro,res,11/11/2025,15:48:50,1.0,2,213,geography
428,eclectic,eclectic,mission_res,mission,res,11/11/2025,15:49:48,0.0,1,214,special
429,gay,gay,mission_res,castro,res,11/11/2025,15:49:48,0.0,2,214,gay
430,eclectic,eclectic,mission_res,mission,res,11/11/2025,15:50:22,0.0,1,215,special
431,vibrant,vibrant,mission_res,castro,res,11/11/2025,15:50:22,0.0,2,215,fun
432,comunidad_latina,latino,mission_res,mission,res,11/11/2025,15:51:30,1.0,1,216,latino
433,también_comunidad,community,mission_res,castro,res,11/11/2025,15:51:30,1.0,2,216,community
434,complicated,complicated,mission_res,mission,res,11/11/2025,15:52:25,0.0,1,217,other
435,vibrant,vibrant,mission_res,castro,res,11/11/2025,15:52:25,1.0,2,217,fun
436,familiar,familiar,mission_res,mission,res,11/11/2025,15:53:26,1.0,1,218,community
437,igual,familiar,mission_res,castro,res,11/11/2025,15:53:26,0.0,2,218,community
438,colorful,colorful,mission_res,mission,res,11/11/2025,15:55:06,1.0,1,219,diverse
439,festive,festive,mission_res,castro,res,11/11/2025,15:55:06,0.0,2,219,fun
440,bueno_de_latinos,latino,mission_res,mission,res,11/11/2025,15:55:14,0.0,1,220,latino
441,gay,gay,mission_res,castro,res,11/11/2025,15:55:14,0.0,2,220,gay
442,culture,culture,mission_res,mission,res,11/11/2025,15:56:02,1.0,1,221,diverse
443,colourful,colorful,mission_res,castro,res,11/11/2025,15:56:02,0.0,2,221,diverse
444,pretty,pretty,mission_res,mission,res,11/11/2025,15:56:47,1.0,1,222,nice
445,nice,nice,mission_res,castro,res,11/11/2025,15:56:47,1.0,2,222,nice
446,awesome,awesome,mission_res,mission,res,11/11/2025,15:57:49,0.0,1,223,fun
447,fun,fun,mission_res,castro,res,11/11/2025,15:57:49,1.0,2,223,fun
448,vibrant,vibrant,mission_res,mission,res,11/11/2025,15:58:08,0.0,1,224,fun
449,eclectic,eclectic,mission_res,castro,res,11/11/2025,15:58:08,0.0,2,224,special
450,fun,fun,mission_res,mission,res,11/11/2025,15:58:51,0.0,1,225,fun
451,funner,funner,mission_res,castro,res,11/11/2025,15:58:51,0.0,2,225,fun
452,bien_sucio,sucio,mission_res,mission,res,11/11/2025,15:59:00,0.0,1,226,gritty
453,tranquilo,tranquilo,mission_res,castro,res,11/11/2025,15:59:00,1.0,2,226,nice
454,expansive,expansive,mission_res,mission,res,11/11/2025,15:59:47,0.0,1,227,geography
455,gay,gay,mission_res,castro,res,11/11/2025,15:59:47,0.0,2,227,gay
456,eclectic,eclectic,mission_res,mission,res,11/11/2025,16:01:27,0.0,1,228,special
457,colorful,colorful,mission_res,castro,res,11/11/2025,16:01:27,0.0,2,228,diverse
458,also_spicy,spicy,mission_res,castro,res,11/11/2025,16:02:05,0.0,2,229,diverse
459,spicy,spicy,mission_res,mission,res,11/11/2025,16:02:05,0.0,1,229,diverse
460,diverse,diverse,mission_res,mission,res,11/11/2025,16:03:12,0.0,1,230,diverse
461,fun,fun,mission_res,castro,res,11/11/2025,16:03:12,0.0,2,230,fun
462,latino,latino,mission_res,mission,res,11/11/2025,16:04:16,0.0,1,231,latino
463,comunidad,comunidad,mission_res,castro,res,11/11/2025,16:04:16,1.0,2,231,community
464,beautiful,beautiful,mission_res,mission,res,11/11/2025,16:05:02,0.0,1,232,nice
465,stunning,stunning,mission_res,castro,res,11/11/2025,16:05:02,0.0,2,232,fun
466,vibrant_dying,vibrant,mission_res,mission,res,11/11/2025,16:05:42,0.0,1,233,fun
467,also_dying,dying,mission_res,castro,res,11/11/2025,16:05:42,0.0,2,233,boring
468,eclectic,eclectic,mission_res,mission,res,11/11/2025,16:06:20,1.0,1,234,special
469,friendly,friendly,mission_res,castro,res,11/11/2025,16:06:20,1.0,2,234,other
470,vibrant,vibrant,mission_res,mission,res,11/11/2025,16:06:40,0.0,1,235,fun
471,gay,gay,mission_res,castro,res,11/11/2025,16:06:40,0.0,2,235,gay
472,"comunidad_(changes_to_""cultura""_after_hearing_castro)",comunidad,mission_res,mission,res,11/11/2025,16:08:51,0.0,1,236,community
473,comunidad,comunidad,mission_res,castro,res,11/11/2025,16:08:51,1.0,2,236,community
474,mexican,mexican,mission_res,mission,res,11/11/2025,16:09:33,0.0,1,237,latino
475,naked,naked,mission_res,castro,res,11/11/2025,16:09:33,1.0,2,237,sexual
476,home,home,mission_res,mission,res,11/11/2025,16:10:15,1.0,1,238,community
477,alive,alive,mission_res,castro,res,11/11/2025,16:10:15,0.0,2,238,nice
478,vibrant,vibrant,mission_res,mission,res,11/11/2025,16:10:45,0.0,1,239,fun
479,community,community,mission_res,castro,res,11/11/2025,16:10:45,0.0,2,239,community
480,artistic,artistic,mission_res,mission,res,11/11/2025,16:12:57,1.0,1,240,special
481,quiet,quiet,mission_res,castro,res,11/11/2025,16:12:57,1.0,2,240,nice
482,vibrant,vibrant,mission_res,mission,res,11/11/2025,16:14:43,1.0,1,241,fun
483,dynamic,dynamic,mission_res,castro,res,11/11/2025,16:14:43,1.0,2,241,fun
484,dynamic,dynamic,mission_res,mission,res,11/11/2025,16:14:53,0.0,1,242,fun
485,gay,gay,mission_res,castro,res,11/11/2025,16:14:53,0.0,2,242,gay
486,gay,gay,marina_res,castro,res,11/17/2025,16:41:36,0.0,1,243,gay
487,preppy,preppy,marina_res,marina,res,11/17/2025,16:41:36,0.0,2,243,gentrified
488,lively,lively,marina_res,castro,res,11/17/2025,16:42:35,1.0,1,244,fun
489,yuppies,yuppie,marina_res,marina,res,11/17/2025,16:42:35,0.0,2,244,other
490,pride,pride,marina_res,castro,res,11/17/2025,16:43:02,0.0,1,245,gay
491,water,water,marina_res,marina,res,11/17/2025,16:43:02,0.0,2,245,geography
492,pride,pride,marina_res,castro,res,11/17/2025,16:45:53,0.0,1,246,gay
493,meh,meh,marina_res,marina,res,11/17/2025,16:45:53,0.0,2,246,boring
494,lively,lively,marina_res,castro,res,11/17/2025,16:47:10,0.0,1,247,fun
495,approachable,approachable,marina_res,marina,res,11/17/2025,16:47:10,0.0,2,247,nice
496,sf,sf,marina_res,castro,res,11/17/2025,16:47:36,0.0,1,248,geography
497,sf,sf,marina_res,marina,res,11/17/2025,16:47:36,0.0,2,248,geography
498,fun,fun,marina_res,castro,res,11/17/2025,16:48:08,0.0,1,249,fun
499,work,work,marina_res,marina,res,11/17/2025,16:48:08,0.0,2,249,actions
500,gay,gay,marina_res,castro,res,11/17/2025,16:48:31,0.0,1,250,gay
501,white,white,marina_res,marina,res,11/17/2025,16:48:31,0.0,2,250,normative
502,lit,lit,marina_res,castro,res,11/17/2025,16:48:58,1.0,1,251,fun
503,fun,fun,marina_res,marina,res,11/17/2025,16:48:58,1.0,2,251,fun
504,gay,gay,marina_res,castro,res,11/17/2025,16:50:22,0.0,1,252,gay
505,white,white,marina_res,marina,res,11/17/2025,16:50:22,0.0,2,252,normative
506,dinero_(long_response),dinero,marina_res,marina,res,11/17/2025,16:51:17,1.0,2,253,gentrified
507,nada,nada,marina_res,castro,res,11/17/2025,16:51:17,1.0,1,253,antitask
508,marina_meats,marina_meats,marina_res,marina,res,11/17/2025,16:52:17,1.0,2,254,institutions
509,soulcycle,soulcycle,marina_res,castro,res,11/17/2025,16:52:17,0.0,1,254,institutions
510,big_change_(personally_used_to_live_in_the_castro),change,marina_res,marina,res,11/17/2025,16:53:27,0.0,2,255,change
511,beautiful,beautiful,marina_res,castro,res,11/17/2025,16:53:27,0.0,1,255,nice
512,rainbow,rainbow,marina_res,castro,res,11/17/2025,16:55:47,1.0,1,256,gay
513,frat,frat,marina_res,marina,res,11/17/2025,16:55:47,0.0,2,256,other
514,young_people,young,marina_res,marina,res,11/17/2025,16:56:45,0.0,2,257,young
515,hippies,hippies,marina_res,castro,res,11/17/2025,16:56:45,0.0,1,257,other
516,fun_lively,fun,marina_res,castro,res,11/17/2025,17:00:09,0.0,1,258,fun
517,hustling_bustling,bustling,marina_res,marina,res,11/17/2025,17:00:09,0.0,2,258,chaotic
518,homosexuales_y_lesbianas,homosexuales,marina_res,castro,res,11/17/2025,17:01:40,0.0,1,259,gay
519,turismo_lanchas,tourists,marina_res,marina,res,11/17/2025,17:01:40,0.0,2,259,other
520,gay,gay,marina_res,castro,res,11/17/2025,17:02:08,0.0,1,260,gay
521,frat,frat,marina_res,marina,res,11/17/2025,17:02:08,0.0,2,260,other
522,young_people,young,marina_res,marina,res,11/17/2025,17:03:00,0.0,2,261,young
523,colors,colors,marina_res,castro,res,11/17/2025,17:03:00,0.0,1,261,diverse
524,castro_theater,theater,marina_res,castro,res,11/17/2025,17:04:34,0.0,1,262,institutions
525,yuppie,yuppie,marina_res,marina,res,11/17/2025,17:04:34,1.0,2,262,other
526,gay,gay,marina_res,castro,res,11/17/2025,17:05:27,0.0,1,263,gay
527,boujee,boujee,marina_res,marina,res,11/17/2025,17:05:27,0.0,2,263,gentrified
528,never_go_there,antitask,marina_res,castro,res,11/17/2025,17:07:37,0.0,1,264,antitask
529,the_best,best,marina_res,marina,res,11/17/2025,17:07:37,0.0,2,264,fun
530,good_restaurants,restaurants,marina_res,castro,res,11/17/2025,17:09:16,0.0,1,265,other
531,god_restaurants,restaurants,marina_res,marina,res,11/17/2025,17:09:16,0.0,2,265,other
532,by_the_water,water,marina_res,marina,res,11/17/2025,17:09:55,0.0,2,266,geography
533,vibrant,vibrant,marina_res,castro,res,11/17/2025,17:09:55,0.0,1,266,fun
534,gay_district,gay,marina_res,castro,res,11/17/2025,17:10:52,0.0,1,267,gay
535,college_area,college,marina_res,marina,res,11/17/2025,17:10:52,0.0,2,267,young
536,gay,gay,marina_res,castro,res,11/17/2025,17:12:52,0.0,1,268,gay
537,rich,rich,marina_res,marina,res,11/17/2025,17:12:52,0.0,2,268,gentrified
538,near_the_mission,mission,marina_res,castro,res,11/17/2025,17:15:08,1.0,1,269,geography
539,gentrified,gentrified,marina_res,marina,res,11/17/2025,17:15:08,0.0,2,269,gentrified
540,pride,pride,marina_res,castro,res,11/17/2025,17:17:53,0.0,1,270,gay
541,peace,peace,marina_res,marina,res,11/17/2025,17:17:53,0.0,2,270,nice
542,less_fun,less_fun,marina_res,marina,res,11/17/2025,17:18:43,0.0,2,271,boring
543,fun,fun,marina_res,castro,res,11/17/2025,17:18:43,0.0,1,271,fun
544,party,party,marina_res,castro,res,11/17/2025,17:20:07,0.0,1,272,fun
545,white,white,marina_res,marina,res,11/17/2025,17:20:07,0.0,2,272,normative
546,theater,theater,marina_res,castro,res,11/17/2025,17:21:13,0.0,1,273,institutions
547,restaurants,restaurants,marina_res,marina,res,11/17/2025,17:21:13,0.0,2,273,other
548,chestnut_st,chestnut,marina_res,marina,res,11/17/2025,17:22:02,1.0,2,274,geography
549,theater,theater,marina_res,castro,res,11/17/2025,17:22:02,1.0,1,274,institutions
550,bars_and_restaurants,bars,marina_res,marina,res,11/17/2025,17:27:17,1.0,2,275,institutions
551,parties,party,marina_res,castro,res,11/17/2025,17:27:17,0.0,1,275,fun
552,gay,gay,marina_res,castro,res,11/17/2025,17:28:32,0.0,1,276,gay
553,privilege,privileged,marina_res,marina,res,11/17/2025,17:28:32,0.0,2,276,gentrified
554,hot_girls,hot_girls,marina_res,marina,res,11/17/2025,17:33:27,1.0,2,277,normative
555,gay,gay,marina_res,castro,res,11/17/2025,17:33:27,0.0,1,277,gay
556,great_place_to_be,great,marina_res,marina,res,11/17/2025,17:39:06,0.0,2,278,fun
557,dead,dead,marina_res,castro,res,11/17/2025,17:39:06,0.0,1,278,boring
558,gay,gay,marina_res,castro,res,11/17/2025,17:40:22,0.0,1,279,gay
559,bro,bro,marina_res,marina,res,11/17/2025,17:40:22,0.0,2,279,normative
560,my_brother_lives_there,brother,marina_res,castro,res,11/17/2025,17:45:20,0.0,1,280,other
561,i_live_here,live,marina_res,marina,res,11/17/2025,17:45:20,0.0,2,280,actions
562,white_bitches,white,marina_res,marina,res,11/17/2025,17:46:05,0.0,2,281,normative
563,gay,gay,marina_res,castro,res,11/17/2025,17:46:05,0.0,1,281,gay
564,dude_idk_it’s_like_my_third_day_in_the_us,antitask,marina_res,marina,res,11/17/2025,17:48:01,0.0,2,282,antitask
565,gay,gay,marina_res,castro,res,11/17/2025,17:48:01,0.0,1,282,gay
566,gay,gay,marina_res,castro,res,11/17/2025,17:58:41,0.0,1,283,gay
567,douchey,douchey,marina_res,marina,res,11/17/2025,17:58:41,0.0,2,283,normative
568,architecture,architecture,marina_res,castro,res,11/19/2025,15:51:47,0.0,1,284,institutions
569,active,active,marina_res,marina,res,11/19/2025,15:51:47,0.0,2,284,fun
570,just_visited,visited,marina_res,marina,res,11/19/2025,15:55:19,0.0,2,285,actions
571,unknown,unknown,marina_res,castro,res,11/19/2025,15:55:19,0.0,1,285,antitask
572,gay,gay,marina_res,castro,res,11/19/2025,16:00:00,0.0,1,286,gay
573,frat,frat,marina_res,marina,res,11/19/2025,16:00:00,0.0,2,286,other
574,gay,gay,marina_res,castro,res,11/19/2025,16:01:50,0.0,1,287,gay
575,la,la,marina_res,marina,res,11/19/2025,16:01:50,0.0,2,287,normative
576,personality,personality,marina_res,castro,res,11/19/2025,16:02:46,1.0,1,288,special
577,cozy,cozy,marina_res,marina,res,11/19/2025,16:02:46,0.0,2,288,nice
578,fun,fun,marina_res,castro,res,11/19/2025,16:05:46,0.0,1,289,fun
579,young,young,marina_res,marina,res,11/19/2025,16:05:46,0.0,2,289,young
580,gay,gay,marina_res,castro,res,11/19/2025,16:10:17,0.0,1,290,gay
581,white,white,marina_res,marina,res,11/19/2025,16:10:17,0.0,2,290,normative
582,sf_fun_friendly,fun,marina_res,castro,res,11/19/2025,16:13:24,0.0,1,291,fun
583,safe_family,safe,marina_res,marina,res,11/19/2025,16:13:24,0.0,2,291,nice
584,i_don't_know,antitask,marina_res,castro,res,11/19/2025,16:18:19,0.0,1,292,antitask
585,bougie,bougie,marina_res,marina,res,11/19/2025,16:18:19,0.0,2,292,gentrified
586,historically_gay,gay,marina_res,castro,res,11/19/2025,16:20:44,0.0,1,293,gay
587,affluent,affluent,marina_res,marina,res,11/19/2025,16:20:44,0.0,2,293,gentrified
588,gay,gay,marina_res,castro,res,11/19/2025,16:22:13,0.0,1,294,gay
589,preppy,preppy,marina_res,marina,res,11/19/2025,16:22:13,0.0,2,294,gentrified
590,gay,gay,marina_res,castro,res,11/19/2025,16:23:17,0.0,1,295,gay
591,wealthy,wealthy,marina_res,marina,res,11/19/2025,16:23:17,0.0,2,295,gentrified
592,flamboyant,flamboyant,marina_res,castro,res,11/19/2025,16:24:01,0.0,1,296,gay
593,preppy,preppy,marina_res,marina,res,11/19/2025,16:24:01,0.0,2,296,gentrified
594,very_different_but_fun,different,marina_res,marina,res,11/19/2025,16:24:38,0.0,2,297,diverse
595,fun,fun,marina_res,castro,res,11/19/2025,16:24:38,0.0,1,297,fun
596,vibrant,vibrant,marina_res,castro,res,11/19/2025,16:25:16,0.0,1,298,fun
597,young,young,marina_res,marina,res,11/19/2025,16:25:16,0.0,2,298,young
598,diverse,diverse,marina_res,castro,res,11/19/2025,16:27:57,0.0,1,299,diverse
599,safe,safe,marina_res,marina,res,11/19/2025,16:27:57,0.0,2,299,nice
600,fun_(character),fun,marina_res,castro,res,11/19/2025,16:29:44,0.0,1,300,fun
601,basic_(family_forward),basic,marina_res,marina,res,11/19/2025,16:29:44,0.0,2,300,normative
602,gay,gay,marina_res,castro,res,11/19/2025,16:30:04,0.0,1,301,gay
603,preppy,preppy,marina_res,marina,res,11/19/2025,16:30:04,0.0,2,301,gentrified
604,vibrant,vibrant,marina_res,castro,res,11/19/2025,16:31:05,0.0,1,302,fun
605,straight,straight,marina_res,marina,res,11/19/2025,16:31:05,0.0,2,302,normative
606,vibrant,vibrant,marina_res,castro,res,11/19/2025,16:31:18,0.0,1,303,fun
607,comfortable,comfortable,marina_res,marina,res,11/19/2025,16:31:18,0.0,2,303,nice
608,also_nice,nice,marina_res,marina,res,11/19/2025,16:35:19,0.0,2,304,nice
609,nice,nice,marina_res,castro,res,11/19/2025,16:35:19,0.0,1,304,nice
610,i'm_not_sure,antitask,marina_res,castro,res,11/19/2025,16:36:18,0.0,1,305,antitask
611,ocean,ocean,marina_res,marina,res,11/19/2025,16:36:18,0.0,2,305,geography
612,fun,fun,marina_res,castro,res,11/19/2025,16:38:20,0.0,1,306,fun
613,trendy,trendy,marina_res,marina,res,11/19/2025,16:38:20,1.0,2,306,gentrified
614,i_don't_know,antitask,marina_res,castro,res,11/19/2025,16:39:08,0.0,1,307,antitask
615,nice,nice,marina_res,marina,res,11/19/2025,16:39:08,0.0,2,307,nice
616,fun,fun,marina_res,castro,res,11/19/2025,16:41:52,0.0,1,308,fun
617,fun,fun,marina_res,marina,res,11/19/2025,16:41:52,0.0,2,308,fun
